metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
pv_rel_buildup_display,6.9,314,6.7897,7.0072,6.9477,6.973,6.7642,67,72,64,56,55,7.81
pv_rel_buildup_index,-0.0,314,-0.1347,0.1295,0.0489,0.0916,-0.1556,67,72,64,56,55,1.1074
pv_rel_chance_display,6.9025,314,6.8666,6.8315,6.9512,6.9898,6.8935,67,72,64,56,55,8.08
pv_rel_chance_index,-0.0,314,-0.0606,-0.0634,0.063,0.1228,-0.0415,67,72,64,56,55,1.9435
pv_rel_leth_index,0.0,314,-0.2017,-0.1461,-0.0641,-0.1191,0.6329,67,72,64,56,55,0.2314
pv_rel_volume_display,6.9121,314,6.9599,6.9099,6.8411,6.8037,7.0498,67,72,64,56,55,5.88
pv_rel_volume_index,0.0,314,0.0606,-0.023,-0.0864,-0.1658,0.2256,67,72,64,56,55,-1.3696
rating_archetype_badge,0.0303,330,0.0423,0.0267,0.0147,0.0175,0.0508,71,75,68,57,59,False
rating_composite_z,0.0,330,-0.061,0.0297,-0.0926,0.0344,0.1091,71,75,68,57,59,-0.4605
rating_confidence,0.9733,330,0.9763,0.9779,0.968,0.9799,0.9633,71,75,68,57,59,0.9526
rating_is_solo,0.0,330,0.0,0.0,0.0,0.0,0.0,71,75,68,57,59,False
rating_pareto_badge,0.3667,330,0.3099,0.3867,0.3529,0.3333,0.4576,71,75,68,57,59,False
rating_pareto_dims,1.5091,330,1.4366,1.6,1.4265,1.3684,1.7119,71,75,68,57,59,0
rating_percentile,0.5,330,0.4694,0.527,0.4555,0.5079,0.5462,71,75,68,57,59,0.3102
rating_raw_display,5.947,330,5.8561,6.0144,5.8268,5.9747,6.0825,71,75,68,57,59,5.34
rating_uncertainty,0.0482,330,0.0427,0.0399,0.0575,0.0363,0.0661,71,75,68,57,59,0.09
risk_pass_pct,1.1388,477,1.0867,1.134,1.1519,1.1641,1.1571,90,103,108,78,98,0.5
risk_passes,10.5367,477,12.2,10.3883,10.0,11.3205,9.1327,90,103,108,78,98,3
risk_passes_p90,0.5547,477,0.5378,0.5453,0.5336,0.5505,0.6067,90,103,108,78,98,0.2
short_pass_share_pct,89.3074,470,89.9667,88.7198,88.881,89.8883,89.3082,90,101,105,77,97,92.3
